sentence|sentiment|chapter|book|spells|characters|groups
58 THE RIDDLE HOUSE  |0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
The villagers of Little Hangleton still called it “the  Riddle House,” even though it had been many years  since the Riddle family had lived there|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 It stood on a  hill overlooking the village, some of its windows  boarded, tiles missing from its roof, and ivy spreading  unchecked over its face|-0.296|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Once a fine-looking manor,  and easily the largest and grandest building for miles  around, the Riddle House was now damp, derelict,  and unoccupied|0.7003|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
  The Little Hangletons all agreed that the old house  was “creepy|0.2111|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
” Half a century ago, something strange  and horrible had happened there, something that the  older inhabitants of the village still liked to discuss  when topics for gossip were scarce|-0.4939|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 The story had  been picked over so many times, and had been  embroidered in so many places, that nobody was  quite sure what the truth was anymore|0.5984|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Every version  of the tale, however, started in the same place: Fifty  years before, at daybreak on a fine summer’s  morning, when the Riddle House had still been well  kept and impressive, a maid had entered the drawing  room to find all three Riddles dead|0.2263|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
  The maid had run screaming down the hill into the  village and roused as many people as she could|-0.3818|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “Lying there with their eyes wide open! Cold as ice!  Still in their dinner things!”  The police were summoned, and the whole of Little  Hangleton had seethed with shocked curiosity and ill-  disguised excitement|-0.5962|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Nobody wasted their breath  pretending to feel very sad about the Riddles, for they  had been most unpopular|-0.7346|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 Elderly Mr and Mrs  Riddle had been rich, snobbish, and rude, and their  grown-up son, Tom, had been, if anything, worse|-0.5267|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 All  the villagers cared about was the identity of their  murderer — for plainly, three apparently healthy  people did not all drop dead of natural causes on the  same night|0.7688|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  The Hanged Man, the village pub, did a roaring trade  that night; the whole village seemed to have turned  out to discuss the murders|-0.6124|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 They were rewarded for  leaving their firesides when the Riddles’ cook arrived  dramatically in their midst and announced to the  suddenly silent pub that a man called Frank Bryce  had just been arrested|0.0258|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Frank Bryce', 'Tom Marvolo Riddle'}|{'Muggle'}
  “Frank!” cried several people|-0.4389|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 “Never!”  Frank Bryce was the Riddles’ gardener|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Frank Bryce', 'Tom Marvolo Riddle'}|{'Muggle'}
 He lived alone  in a rundown cottage on the grounds of the Riddle  House|-0.25|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 Frank had come back from the war with a  very stiff leg and a great dislike of crowds and loud  noises, and had been working for the Riddles ever  since|-0.34|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
  There was a rush to buy the cook drinks and hear  more details|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “Always thought he was odd,” she told the eagerly  listening villagers, after her fourth sherry|0.3818|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “Unfriendly, like|0.3612|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 I’m sure if I’ve offered him a cuppa  once, I’ve offered it a hundred times|0.3182|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Never wanted to  mix, he didn’t|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  “Ah, now,” said a woman at the bar, “he had a hard  war, Frank|-0.6486|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 He likes the quiet life|0.4215|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 That’s no reason to  “Who else had a key to the back door, then?” barked  the cook|-0.296|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 “There’s been a spare key hanging in the  gardener’s cottage far back as I can remember!  Nobody forced the door last night! No broken  windows! All Frank had to do was creep up to the big  house while we was all sleeping|-0.323|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  The villagers exchanged dark looks|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “I always thought he had a nasty look about him,  right enough,” grunted a man at the bar|-0.5574|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “War turned him funny, if you ask me,” said the  landlord|0.4404|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “Told you I wouldn’t like to get on the wrong side of  Frank, didn’t I, Dot?” said an excited woman in the  corner|0.2023|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  “Horrible temper,” said Dot, nodding fervently|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 “I  remember, when he was a kid |0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  By the following morning, hardly anyone in Little  Hangleton doubted that Frank Bryce had killed the  Riddles|-0.7447|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Frank Bryce', 'Tom Marvolo Riddle'}|{'Muggle'}
  But over in the neighboring town of Great Hangleton,  in the dark and dingy police station, Frank was  stubbornly repeating, again and again, that he was  innocent, and that the only person he had seen near  the house on the day of the Riddles’ deaths had been  a teenage boy, a stranger, dark-haired and pale|0.7684|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
  Nobody else in the village had seen any such boy, and  the police were quite sure that Frank had invented  him|0.3804|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  Then, just when things were looking very serious for  Frank, the report on the Riddles’ bodies came back  and changed everything|-0.1513|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
  The police had never read an odder report|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 A team of  doctors had examined the bodies and had concluded  that none of the Riddles had been poisoned, stabbed,  shot, strangled, suffocated, or (as far as they could  tell) harmed at all|-0.9136|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 In fact (the report continued, in a  tone of unmistakable bewilderment), the Riddles all  appeared to be in perfect health — apart from the fact  that they were all dead|-0.1531|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 The doctors did note (as  though determined to find something wrong with the  bodies) that each of the Riddles had a look of terror  upon his or her face — but as the frustrated police  said, whoever heard of three people being frightened  to death?  As there was no proof that the Riddles had been  murdered at all, the police were forced to let Frank go|-0.9835|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
  The Riddles were buried in the Little Hangleton  churchyard, and their graves remained objects of  curiosity for a while|-0.296|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 To everyone’s surprise, and amid  a cloud of suspicion, Frank Bryce returned to his  cottage on the grounds of the Riddle House|-0.128|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Frank Bryce', 'Tom Marvolo Riddle'}|{'Muggle'}
  “ ’S far as I’m concerned, he killed them, and I don’t  care what the police say,” said Dot in the Hanged  Man|-0.3182|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 “And if he had any decency, he’d leave here,  knowing as how we knows he did it|-0.0516|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
”  But Frank did not leave|0.0572|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 He stayed to tend the garden  for the next family who lived in the Riddle House, and  then the next — for neither family stayed long|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
  Perhaps it was partly because of Frank that the new  owners said there was a nasty feeling about the place,  which, in the absence of inhabitants, started to fall  into disrepair|-0.4767|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  The wealthy man who owned the Riddle House these  days neither lived there nor put it to any use; they  said in the village that he kept it for “tax reasons,”  though nobody was very clear what these might be|0.659|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
  The wealthy owner continued to pay Frank to do the  gardening, however|0.2732|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Frank was nearing his seventy-  seventh birthday now, very deaf, his bad leg stiffer  than ever, but could be seen pottering around the  flower beds in fine weather, even though the weeds  were starting to creep up on him, try as he might to  suppress them|-0.0469|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  Weeds were not the only things Frank had to contend  with either|0.0516|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Boys from the village made a habit of  throwing stones through the windows of the Riddle  House|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 They rode their bicycles over the lawns Frank  worked so hard to keep smooth|-0.2183|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Once or twice, they  broke into the old house for a dare|-0.4215|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 They knew that  old Frank’s devotion to the house and grounds  amounted almost to an obsession, and it amused  them to see him limping across the garden,  brandishing his stick and yelling croakily at them|0.5667|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  Frank, for his part, believed the boys tormented him  because they, like their parents and grandparents,  thought him a murderer|-0.4767|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 So when Frank awoke one  night in August and saw something very odd up at  the old house, he merely assumed that the boys had  gone one step further in their attempts to punish him|-0.7178|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  It was Frank’s bad leg that woke him; it was paining  him worse than ever in his old age|-0.8519|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 He got up and  limped downstairs into the kitchen with the idea of  refilling his hot-water bottle to ease the stiffness in  his knee|0.3612|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 Standing at the sink, filling the kettle, he  looked up at the Riddle House and saw lights  glimmering in its upper windows|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 Frank knew at once  what was going on|0.0|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
 The boys had broken into the  house again, and judging by the flickering quality of  the light, they had started a fire|-0.6705|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
  Frank had no telephone, and in any case, he had  deeply mistrusted the police ever since they had  taken him in for questioning about the Riddles’  deaths|-0.3818|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|{'Tom Marvolo Riddle'}|set()
 He put down the kettle at once, hurried back  upstairs as fast as his bad leg would allow, and was  soon back in his kitchen, fully dressed and removing  a rusty old key from its hook by the door|-0.3818|58 The Riddle House  |4 Harry Potter And The Goblet Of Fire|[]|set()|set()
