sentence|sentiment|chapter|book|spells|characters|groups
133 THE OTHER MINISTER  |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
It was nearing midnight and the Prime Minister was  sitting alone in his office, reading a long memo that  was slipping through his brain without leaving the  slightest trace of meaning behind|-0.25|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He was waiting for  a call from the President of a far distant country, and  between wondering when the wretched man would  telephone, and trying to suppress unpleasant  memories of what had been a very long, tiring, and  difficult week, there was not much space in his head  for anything else|-0.6808|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 The more he attempted to focus on  the print on the page before him, the more clearly the  Prime Minister could see the gloating face of one of  his political opponents|0.4576|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 This particular opponent had  appeared on the news that very day, not only to  enumerate all the terrible things that had happened  in the last week (as though anyone needed reminding)  but also to explain why each and every one of them  was the government’s fault|-0.6808|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  The Prime Minister’s pulse quickened at the very  thought of these accusations, for they were neither  fair nor true|-0.313|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 How on earth was his government  supposed to have stopped that bridge collapsing? It  was outrageous for anybody to suggest that they were  not spending enough on bridges|-0.7269|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 The bridge was  fewer than ten years old, and the best experts were at  a loss to explain why it had snapped cleanly in two,  sending a dozen cars into the watery depths of the  river below|0.4404|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 And how dare anyone suggest that it was  lack of policemen that had resulted in those two very  nasty and well-publicized murders? Or that the  government should have somehow foreseen the freak  hurricane in the West Country that had caused so  much damage to both people and property? And was  it his fault that one of his Junior Ministers, Herbert  Chorley, had chosen this week to act so peculiarly  that he was now going to be spending a lot more time  with his family?  “A grim mood has gripped the country,” the opponent  had concluded, barely concealing his own broad grin|-0.9693|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cho Chang'}|"{""Dumbledore's Army"", 'Ravenclaw Quidditch', 'Ravenclaw'}"
  And unfortunately, this was perfectly true|0.6808|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 The Prime  Minister felt it himself; people really did seem more  miserable than usual|-0.5413|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Even the weather was dismal;  all this chilly mist in the middle of July|-0.6124|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 It wasn’t  right, it wasn’t normal|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  He turned over the second page of the memo, saw  how much longer it went on, and gave it up as a bad  job|-0.5423|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Stretching his arms above his head he looked  around his office mournfully|-0.4019|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 It was a handsome  room, with a fine marble fireplace facing the long sash  windows, firmly closed against the unseasonable  chill|0.6124|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 With a slight shiver, the Prime Minister got up  and moved over to the window, looking out at the thin  mist that was pressing itself against the glass|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 It was  then, as he stood with his back to the room, that he  heard a soft cough behind him|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  He froze, nose to nose with his own scared-looking  reflection in the dark glass|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He knew that cough|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He  had heard it before|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 He turned very slowly to face the  empty room|-0.2023|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “Hello?” he said, trying to sound braver than he felt|0.5267|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  For a brief moment he allowed himself the impossible  hope that nobody would answer him|0.4404|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 However, a  voice responded at once, a crisp, decisive voice that  sounded as though it were reading a prepared  statement|0.4215|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 It was coming — as the Prime Minister  had known at the first cough — from the froglike little  man wearing a long silver wig who was depicted in a  small, dirty oil painting in the far corner of the room|-0.4404|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “To the Prime Minister of Muggles|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Urgent we meet|0.2023|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  Kindly respond immediately|0.4939|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 Sincerely, Fudge|0.4767|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|{'Cornelius Fudge'}|{'Ministry'}
”  The man in the painting looked inquiringly at the  Prime Minister|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
  “Er,” said the Prime Minister, “listen|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 It’s not a very  good time for me|-0.3865|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 I’m waiting for a telephone call,  you see |0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
 from the President of — ”  “That can be rearranged,” said the portrait at once|0.0|133 The Other Minister  |6 Harry Potter And The Half-Blood Prince|[]|set()|set()
