sentence|sentiment|chapter|book|spells|characters|groups
95 DUDLEY DEMENTED  |0.0|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
The hottest day of the summer so far was drawing to  a close and a drowsy silence lay over the large, square  houses of Privet Drive|0.0|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
 Cars that were usually  gleaming stood dusty in their drives and lawns that  were once emerald green lay parched and yellowing;  the use of hosepipes had been banned due to  drought|-0.4588|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
 Deprived of their usual car-washing and  lawn-mowing pursuits, the inhabitants of Privet Drive  had retreated into the shade of their cool houses,  windows thrown wide in the hope of tempting in a  nonexistent breeze|0.2732|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
 The only person left outdoors was  a teenage boy who was lying flat on his back in a  flower bed outside number four|-0.4767|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
  He was a skinny, black-haired, bespectacled boy who  had the pinched, slightly unhealthy look of someone  who has grown a lot in a short space of time|-0.4779|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
 His  jeans were torn and dirty, his T-shirt baggy and  faded, and the soles of his trainers were peeling away  from the uppers|-0.5994|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
 Harry Potter’s appearance did not  endear him to the neighbors, who were the sort of  people who thought scruffiness ought to be  punishable by law, but as he had hidden himself  behind a large hydrangea bush this evening he was  quite invisible to passersby|-0.2382|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|{'Harry Potter'}|"{'Gryffindor Quidditch', 'Potter Family', 'Golden Trio', 'Gryffindor', ""Dumbledore's Army""}"
 In fact, the only way he  would be spotted was if his Uncle Vernon or Aunt  Petunia stuck their heads out of the living room  window and looked straight down into the flower bed  below|-0.0258|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|{'Petunia Dursley', 'Vernon Dursley'}|{'Dursley Family'}
  On the whole, Harry thought he was to be  congratulated on his idea of hiding here|-0.296|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|{'Harry Potter'}|"{'Gryffindor Quidditch', 'Potter Family', 'Golden Trio', 'Gryffindor', ""Dumbledore's Army""}"
 He was not,  perhaps, very comfortable lying on the hot, hard  earth, but on the other hand, nobody was glaring at  him, grinding their teeth so loudly that he could not  hear the news, or shooting nasty questions at him, as  had happened every time he had tried sitting down in  the living room and watching television with his aunt  and uncle|-0.6247|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
  Almost as though this thought had fluttered through  the open window, Vernon Dursley, Harry’s uncle,  suddenly spoke|0.0|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|{'Harry Potter', 'Vernon Dursley'}|"{'Gryffindor Quidditch', 'Potter Family', 'Golden Trio', 'Gryffindor', ""Dumbledore's Army"", 'Dursley Family'}"
 “Glad to see the boy’s stopped trying  to butt in|-0.2263|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
 Where is he anyway?”  “I don’t know,” said Aunt Petunia unconcernedly|0.0|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|{'Petunia Dursley'}|{'Dursley Family'}
 “Not  in the house|0.0|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|set()|set()
”  Uncle Vernon grunted|0.0|95 Dudley Demented  |5 Harry Potter And The Order Of The Phoenix|[]|{'Vernon Dursley'}|{'Dursley Family'}
