sentence|sentiment|chapter|book|spells|characters|groups
18 THE WORST BIRTHDAY  |-0.7034|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|set()|set()
Not for the first time, an argument had broken out  over breakfast at number four, Privet Drive|-0.6486|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|set()|set()
 Mr  Vernon Dursley had been woken in the early hours of  the morning by a loud, hooting noise from his nephew  Harry’s room|0.0|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|{'Vernon Dursley', 'Harry Potter'}|"{'Golden Trio', 'Gryffindor', 'Gryffindor Quidditch', ""Dumbledore's Army"", 'Dursley Family', 'Potter Family'}"
  “Third time this week!” he roared across the table|0.0|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|set()|set()
 “If  you can’t control that owl, it’ll have to go!”  Harry tried, yet again, to explain|0.0|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|{'Harry Potter'}|"{'Golden Trio', 'Gryffindor', 'Gryffindor Quidditch', ""Dumbledore's Army"", 'Potter Family'}"
  “She’s bored,” he said|0.0|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|set()|set()
 “She’s used to flying around  outside|0.0|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|set()|set()
 If I could just let her out at night — ”  “Do I look stupid?” snarled Uncle Vernon, a bit of  fried egg dangling from his bushy mustache|0.0|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|{'Vernon Dursley'}|{'Dursley Family'}
 “I know  what 11 happen if that owl’s let out|0.0|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|set()|set()
”  He exchanged dark looks with his wife, Petunia|0.0|18 The Worst Birthday  |"2 Harry Potter And The Chamber Of Secrets. 
"|[]|{'Petunia Dursley'}|{'Dursley Family'}
