sentence|sentiment|chapter|book|spells|characters|groups
163 THE DARK LORD ASCENDING  |0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
The two men appeared out of nowhere, a few yards  apart in the narrow, moonlit lane|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 For a second they  stood quite still, wands directed at each other’s  chests; then, recognizing each other, they stowed  their wands beneath their cloaks and started walking  briskly in the same direction|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
  “News?” asked the taller of the two|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
  “The best,” replied Severus Snape|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Severus Snape'}|{'Teacher', 'Order of the Phoenix'}
  The lane was bordered on the left by wild, low-  growing brambles, on the right by a high, neatly  manicured hedge|0.25|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 The men’s long cloaks flapped  around their ankles as they marched|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
  “Thought I might be late,” said Yaxley, his blunt  features sliding in and out of sight as the branches of  overhanging trees broke the moonlight|-0.4215|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Corban Yaxley'}|{'Death Eater', 'Ministry'}
 “It was a little  trickier than I expected|-0.1045|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 But I hope he will be  satisfied|0.8201|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 You sound confident that your reception will  be good?”  Snape nodded, but did not elaborate|0.2732|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Severus Snape'}|{'Teacher', 'Order of the Phoenix'}
 They turned  right, into a wide driveway that led off the lane|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 The  high hedge curved with them, running off into the  distance beyond the pair of impressive wrought-iron  gates barring the men’s way|0.5106|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 Neither of them broke  step: In silence both raised their left arms in a kind of  salute and passed straight through, as though the  dark metal were smoke|0.4993|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
  The yew hedges muffled the sound of the men’s  footsteps|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 There was a rustle somewhere to their  right: Yaxley drew his wand again, pointing it over his  companion’s head, but the source of the noise proved  to be nothing more than a pure-white peacock,  strutting majestically along the top of the hedge|0.296|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Corban Yaxley'}|{'Death Eater', 'Ministry'}
  “He always did himself well, Lucius|0.2732|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Lucius Malfoy'}|{'Death Eater'}
 Peacocks |0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
”  Yaxley thrust his wand back under his cloak with a  snort|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Corban Yaxley'}|{'Death Eater', 'Ministry'}
  A handsome manor house grew out of the darkness at  the end of the straight drive, lights glinting in the  diamond-paned downstairs windows|0.4767|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 Somewhere in  the dark garden beyond the hedge a fountain was  playing|0.2023|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 Gravel crackled beneath their feet as Snape  and Yaxley sped toward the front door, which swung  inward at their approach, though nobody had visibly  opened it|-0.128|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Corban Yaxley', 'Severus Snape'}|{'Teacher', 'Death Eater', 'Ministry', 'Order of the Phoenix'}
  The hallway was large, dimly lit, and sumptuously  decorated, with a magnificent carpet covering most of  the stone floor|0.5994|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 The eyes of the pale-faced portraits on  the walls followed Snape and Yaxley as they strode  past|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Corban Yaxley', 'Severus Snape'}|{'Teacher', 'Death Eater', 'Ministry', 'Order of the Phoenix'}
 The two men halted at a heavy wooden door  leading into the next room, hesitated for the space of  a heartbeat, then Snape turned the bronze handle|-0.3182|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Severus Snape'}|{'Teacher', 'Order of the Phoenix'}
  The drawing room was full of silent people, sitting at a  long and ornate table|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 The room’s usual furniture had  been pushed carelessly up against the walls|-0.25|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
  Illumination came from a roaring fire beneath a  handsome marble mantelpiece surmounted by a  gilded mirror|0.2023|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 Snape and Yaxley lingered for a  moment on the threshold|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|{'Corban Yaxley', 'Severus Snape'}|{'Teacher', 'Death Eater', 'Ministry', 'Order of the Phoenix'}
 As their eyes grew  accustomed to the lack of light, they were drawn  upward to the strangest feature of the scene: an  apparently unconscious human figure hanging upside  down over the table, revolving slowly as if suspended  by an invisible rope, and reflected in the mirror and in  the bare, polished surface of the table below|-0.6597|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 None of  the people seated underneath this singular sight was  looking at it except for a pale young man sitting  almost directly below it|0.0|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
 He seemed unable to prevent  himself from glancing upward every minute or so|0.0258|163 The Dark Lord Ascending  |7 Harry Potter And The Deathly Hallows|[]|set()|set()
